zone,lat,lon,night_light,industry,traffic,dust,biomass
Anand Vihar,28.6508,77.3152,0.9,0.8,0.9,0.7,0.2
Rohini,28.7497,77.0561,0.6,0.4,0.5,0.4,0.3
Dwarka,28.5921,77.0460,0.5,0.3,0.4,0.3,0.2
Saket,28.5245,77.2066,0.7,0.5,0.6,0.4,0.2
Karol Bagh,28.6522,77.2060,0.8,0.6,0.8,0.5,0.2
Punjabi Bagh,28.6583,77.1406,0.6,0.4,0.5,0.3,0.2
Mayur Vihar,28.5990,77.3030,0.7,0.5,0.7,0.5,0.2
Janakpuri,28.6390,77.1000,0.5,0.3,0.4,0.3,0.2
Vasant Kunj,28.5248,77.1665,0.6,0.4,0.5,0.3,0.2
Nizamuddin,28.5960,77.2500,0.8,0.6,0.7,0.5,0.3
Lajpat Nagar,28.5675,77.2405,0.7,0.5,0.6,0.4,0.2
Connaught Place,28.6323,77.2197,0.9,0.8,0.9,0.6,0.2
